epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4561,2.1102,4.6683,1.79652,0.00315,0.94558,0.09072,0.03232,1.99278,4.48907,1.42689,0.00026,0.00026,0.00026
2,63.7188,1.74032,3.05511,1.36292,0.00302,0.90476,0.39892,0.14933,1.83913,4.01605,1.48919,0.00051327,0.00051327,0.00051327
3,91.3447,1.62481,2.47206,1.31564,0.58359,0.07483,0.11393,0.04851,1.92142,4.30789,1.76821,0.00073882,0.00073882,0.00073882
4,118.288,1.59883,2.1638,1.31948,0.18332,0.07332,0.08113,0.04221,1.79258,3.94632,1.47825,0.00093665,0.00093665,0.00093665
5,146.749,1.6093,2.02234,1.34865,0.69349,0.23088,0.34281,0.16996,1.75857,3.44917,1.47077,0.00110676,0.00110676,0.00110676
6,175.571,1.58638,1.7752,1.31727,0.0896,0.10884,0.04379,0.01459,2.29236,3.7786,2.14908,0.00124915,0.00124915,0.00124915
7,203.033,1.56889,1.61229,1.30935,0.09934,0.05442,0.01927,0.00779,2.54283,5.72599,2.5276,0.00136382,0.00136382,0.00136382
8,229.833,1.56449,1.5207,1.32872,0.0474,0.08844,0.02077,0.00624,2.36577,3.34703,1.77144,0.001307,0.001307,0.001307
9,256.08,1.54942,1.41513,1.31618,0.45144,0.59342,0.5358,0.25509,1.78654,1.93682,1.55615,0.001208,0.001208,0.001208
10,283.502,1.51643,1.29576,1.29763,0.75927,0.63946,0.73791,0.35566,1.72585,1.4511,1.51631,0.001109,0.001109,0.001109
11,318.71,1.45951,1.27323,1.29549,0.4297,0.52381,0.45125,0.20786,1.89222,2.03105,1.51993,0.00101,0.00101,0.00101
12,344.228,1.4505,1.14734,1.25495,0.47228,0.38776,0.42574,0.22303,1.67824,2.67683,1.47121,0.000911,0.000911,0.000911
13,370.128,1.41279,1.09132,1.24901,0.84141,0.75798,0.83795,0.43785,1.65674,1.10618,1.3851,0.000812,0.000812,0.000812
14,394.858,1.39579,1.00695,1.23796,0.7449,0.81633,0.83762,0.444,1.60672,1.10089,1.30679,0.000713,0.000713,0.000713
15,424.639,1.36715,0.98004,1.21819,0.8194,0.89116,0.89899,0.51032,1.5375,0.88311,1.29644,0.000614,0.000614,0.000614
16,450.272,1.32113,0.92572,1.1892,0.88603,0.84616,0.91895,0.51589,1.51403,0.86945,1.27904,0.000515,0.000515,0.000515
17,477.522,1.27709,0.88785,1.17615,0.85905,0.8707,0.91733,0.5008,1.53721,0.85485,1.29803,0.000416,0.000416,0.000416
18,505.743,1.26329,0.84406,1.15966,0.8739,0.84857,0.91046,0.5233,1.47332,0.80346,1.24242,0.000317,0.000317,0.000317
19,532.449,1.22307,0.8049,1.14505,0.87024,0.86683,0.91864,0.54371,1.45886,0.81065,1.22267,0.000218,0.000218,0.000218
20,557.731,1.18754,0.76736,1.12344,0.89497,0.85034,0.92126,0.547,1.4601,0.78336,1.2309,0.000119,0.000119,0.000119
